Study Code,Link,Title,Authors of Study,Year,Type,Venue,Full link,Study Keywords,Rationale for Field,Study objective,Empirical study (yes/no),"Methodology empirical study (e.g., case study, protocol analysis, experiment) if applicable",Sample size,"Participants (e.g., students, experienced developers)",Context empirical study
SE1,Link,"Team Climate, Team Cognition, Team Intuition, and Software Quality:
The Moderating Role of Project Complexity","Açikgöz, A., Günsel, A., Bayyurt, N. and Kuzey, C.",2014,Journal Article,Group Decision and Negotiation,https://doi.org/10.1007/s10726-013-9367-1,Team climate; Team cognition; Team intuition; Software quality; Project complexity; Situated learning theory,Software quality is an outcome of the study,"Explore the moderating effect of project complexity between the
information-processing capabilities and the quality of the software.",Yes,"Large-scale cross-sectional survey, field study",139 questionnaires,Knowledgeable  software engineers / developers (85%male - 15%female), Turkish software development industry
SE2,Link,Teaching students software architecture decision making,"Capilla, R., Zimmermann, O., Carrillo, C. and Astudillo, H.",2020,Book Chapter,Springer International Publishing,https://doi.org/10.1007/978-3-030-58923-3_16,Architectural knowledge; Collaborative decision making; Design decision; Design thinking; Reection; Teaching software architecture,Study focuses on software architecture decision making,Investigate the quality and effectiveness of teaching design thinking in a software architecture course,Yes,Experiment,65 (2016/17) - 58 (2017/18),Students (age 19 - 29),Academic course
SE3,Link,"Examining Decision Characteristics & Challenges for Agile Software
Development.","Drury-Grogan, M. L., Conboy, K. and Acton, T.",2017,Journal Article,"Journal of Systems and Software,",https://doi.org/10.1016/j.jss.2017.06.003,Agile software development; Agile decision making; Decision characteristics; Decision process; Decision intelligence; Decision quality,Study is about the decision process in agile software development,Identify failings of decision making in an agile setting.,Yes,Case study,"18 individual interviews, 2 focus groups, and observation of 21 team meetings","Developers, Scrum master, Quality Assurance, Business analyst (2 years of scrum experience)",Market leader for corporate actions and custody solutions to the investment services industry
SE4,Link,An Investigation of the Decision-Making Process in Agile Teams.,"Drury-Grogan, M. L. and O’Dwyer, O.",2013,Journal Article,Journal of Information Technology and Decision Making,https://doi.org/10.1142/S0219622013400105,Decision-making; Agile teams; Sprint planning; Daily scrum; Rational decision-making; Decision process,The study investigates decision making in agile software development,Explores the decision-making process in agile teams using scrum practices and second identifies factors that influence the decision-making process during the Sprint Planning and Daily Scrum Meetings.,Yes,"Qualitative multiple-case
study ",34 semi-structured interviews across 4 teams and 18 observations,"Experienced developers, Business analysts, Quality assurance, Database specialists, Product owners","2 agile teams co-located, 2 agile teams distributed, multiple countries."
SE5,Link,"Documented Decision-Making Strategies and Decision
Knowledge in Open Source Projects: An Empirical Study on Firefox Issue Reports","Hesse, T. M., Lerche, V., Seiler, M., Knoess, K. and Paech, B.",2016,Journal Article,"Information and Software Technology,",https://doi.org/10.1016/j.infsof.2016.06.003,Decision-making strategy; Naturalistic decision-making; Rational decision-making; Decision knowledge; Decision documentation; Design decision; Software development decision; Empirical study; Issue tracking system,Study is about software development decisions,Our overall goal is to provide insights and ideas for further research to systematically support and document decision-making during software development in open source projects. ,Yes,Case study,642 issues (firefox 6) - 559 issues (firefox 27),Open source developers,Open source project with developers spread across the world
SE6,Link,"Empirical Study of IndustrialDecisionMaking for Software
Modernizations","Koskinen, J., Lintinen, H., Ahonen, J. J., Tilus, T. and Sivula, H.",2005,Conference Paper,Proceedings of the 2005 International Symposium on Empirical Software Engineering,https://doi.org/10.1109/ISESE.2005.1541832,Computer software; Computer software maintenance; Decision making; Economic and social effects; Information management; Software engineering6,This study investigates computer software maintenance,Gathering experiences of industrial decision making is important for its understanding and study decision making related to software evolution strategy selections and software modernizations.,Yes,Interviews and qualitative approach,"29 interviews (12 software supplier, 17 software user organization)",Decision makers,"3 software supplier and 5 software user organizations. 12 interviewees worked within software supplier organizations and 17 were software user organizations’
representatives."
SE7,Link,"Challenges of Shared Decision-Making: A Multiple Case Study of Agile Software
Development.","Moe, N. B., Aurum, A. and Dybå, T.",2012,Journal Article,Information and Software Technology,https://doi.org/10.1016/j.infsof.2011.11.006,Agile software development; Scrum; Decision-making; Self-management; Alignment; Teamwork,Study considers agile software development,Our objective was to understand the challenges of shared decision-making in agile software development teams.,Yes,Multiple case study,"45 interviews, 140 observations",Experienced developers ,Four projects in two software product companies in Norway
SE8,Link,"An exploratory study of naturalistic decision making in complex software architecture
environments.","Power, K. and Wirfs-Brock, R.",2019,Conference Paper,"Proceedings of the 2019 European Conference on Software Architecture (ECSA 2019),",http://dx.doi.org/10.1007/978-3-030-29983-5_4,Naturalistic Decision Making; Recognition Primed Decision Making; Software Architecture; Complexity; Decision Context; Large-Scale,Study focuses on software architecture decision making,Investigate Naturalistic Decision Making in software architecture and studies architecture decisions in their environment and decision-making context.,Yes,Case study,"62 surveys, 3 (10,11,12) focus groups","Architects, program managers, engineers, engineer managers","Large, global technology organization"
SE9,Link,Combined Intuition and Rationality Increases Software Feature Novelty for Female Software Designers.,"Pretorius, C., Razavian, M., Eling, K. and Langerak, F.",2021,Journal Article,"IEEE
Software",https://doi.org/10.1109/ms.2020.3043663,Software engineering; Task analysis; Software design; Particle measurements; Atmospheric measurements; Informatics,Study considers software design decision making,Investigate whether a certain combination(s) of cognitive style and gender led to higher software feature novelty.,Yes,Experiment,80 evaluated features,Software design practitionors (avg 5.44 years experience 73.75%male - 26.25%female),
SE10,Link,Comparing Two Software Design Process Theories,"Ralph, P.",2010,Conference Paper,"Global Perspectives on Design Science Research:
Proceedings of the 5th International Conference on Design Science Research in Information Systems",https://doi.org/10.1007/978-3-642-13335-0_10,Design science; Process theory; Software design; Questionnaire,The study looks at software design processes,,Yes,Exploratory questionnaire study,1384 surveys,Varied roles within software development,Worldwide software developers found through blogs and twitter
